file,line,column,type,code,message,docs,severity,link
sync-sku-from-compatibility.php,189,69,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$sku_updated'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=189
sync-sku-from-compatibility.php,190,67,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$errors'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=190
sync-sku-from-compatibility.php,193,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$new_offset&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=193
sync-sku-from-compatibility.php,199,73,ERROR,WordPress.Security.EscapeOutput.OutputNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '$new_offset'.",https://developer.wordpress.org/apis/security/escaping/#escaping-functions,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=199
sync-sku-from-compatibility.php,209,17,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$final_sku&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=209
sync-sku-from-compatibility.php,209,30,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=209
sync-sku-from-compatibility.php,209,30,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=209
sync-sku-from-compatibility.php,215,13,WARNING,WordPress.NamingConventions.PrefixAllGlobals.NonPrefixedVariableFound,"Global variables defined by a theme/plugin should start with the theme/plugin prefix. Found: &quot;$wc_with_compatibility&quot;.",,6,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=215
sync-sku-from-compatibility.php,215,38,WARNING,WordPress.DB.DirectDatabaseQuery.DirectQuery,"Use of a direct database call is discouraged.",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=215
sync-sku-from-compatibility.php,215,38,WARNING,WordPress.DB.DirectDatabaseQuery.NoCaching,"Direct database call without caching detected. Consider using wp_cache_get() / wp_cache_set() or wp_cache_delete().",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=215
sync-sku-from-compatibility.php,215,45,ERROR,PluginCheck.Security.DirectDB.UnescapedDBParameter,"Unescaped parameter $compat_lookup_expr used in $wpdb->get_var(""\n                SELECT COUNT(DISTINCT pm_code.post_id)\n                FROM {$wpdb->postmeta} pm_code\n                INNER JOIN {$wpdb->posts} p ON p.ID = pm_code.post_id\n                LEFT JOIN {$wpdb->postmeta} pm_new ON pm_new.post_id = pm_code.post_id AND pm_new.meta_key = '_bihr_new_part_number'\n                LEFT JOIN {$wpdb->postmeta} pm_sku ON pm_sku.post_id = pm_code.post_id AND pm_sku.meta_key = '_sku'\n                WHERE pm_code.meta_key = '_bihr_product_code'\n                AND pm_code.meta_value IS NOT NULL\n                AND pm_code.meta_value != ''\n                AND p.post_type = 'product'\n                AND EXISTS (\n                    SELECT 1 FROM {$wpdb->prefix}bihr_vehicle_compatibility vc\n                    WHERE vc.part_number = {$compat_lookup_expr}\n                )\n            "")\n$compat_lookup_expr assigned unsafely at line 62:\n $compat_lookup_expr = 'COALESCE(pm_new.meta_value, pm_sku.meta_value, pm_code.meta_value)'\n$_GET['action'] used without escaping.",,10,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=215
sync-sku-from-compatibility.php,227,1,WARNING,WordPress.DB.PreparedSQL.InterpolatedNotPrepared,"Use placeholders and $wpdb-&gt;prepare(); found interpolated variable {$compat_lookup_expr} at                     WHERE vc.part_number = {$compat_lookup_expr}\n",,5,https://bisque-seal-123062.hostingersite.com/wp-admin/plugin-editor.php?plugin=BIHR-SYNCH-main%2Fbihr-woocommerce-importer.php&file=BIHR-SYNCH-main%2Fsync-sku-from-compatibility.php&line=227
